Column1,Will #1,Last Max,Will (bigger net),Last Max,Will (Adam),Last Max,Brian (new),Brian (new) Max
136,0.8316,0.8358,0.7942,0.8042,,,0.8455,0.8497
137,0.8308,0.8358,0.8001,0.8042,,,0.8455,0.8497
138,0.8275,0.8358,0.7985,0.8042,,,0.8442,0.8497
139,0.8097,0.8358,0.7988,0.8042,,,0.8416,0.8497
140,0.8344,0.8358,0.8018,0.8042,,,0.8488,0.8497
141,0.8349,0.8358,0.8048,0.8048,,,0.8371,0.8497
142,0.8289,0.8358,0.795,0.8048,,,0.8459,0.8497
143,0.8323,0.8358,0.7994,0.8048,,,0.8419,0.8497
144,0.8326,0.8358,0.8014,0.8048,,,0.8393,0.8497
145,0.8324,0.8358,0.7956,0.8048,,,0.8451,0.8497
146,0.8368,0.8368,0.799,0.8048,,,0.8403,0.8497
147,0.8369,0.8369,0.8001,0.8048,,,0.8448,0.8497
148,0.8336,0.8369,0.7997,0.8048,,,0.8433,0.8497
149,0.8291,0.8369,0.7977,0.8048,,,0.8427,0.8497
150,0.8319,0.8369,0.7983,0.8048,,,0.8471,0.8497
151,0.8227,0.8369,0.7978,0.8048,,,0.8449,0.8497
152,0.8297,0.8369,0.797,0.8048,,,0.8486,0.8497
153,0.8354,0.8369,0.8008,0.8048,,,0.8414,0.8497
154,0.835,0.8369,0.7982,0.8048,,,0.8416,0.8497
155,0.8312,0.8369,0.7992,0.8048,,,0.8449,0.8497
156,0.8332,0.8369,0.7979,0.8048,,,0.8405,0.8497
157,0.8353,0.8369,0.8033,0.8048,,,0.8426,0.8497
158,0.835,0.8369,0.7988,0.8048,,,0.8422,0.8497
159,0.8333,0.8369,0.7995,0.8048,,,0.8445,0.8497
160,0.8331,0.8369,0.7983,0.8048,,,0.8427,0.8497
161,0.8353,0.8369,0.8005,0.8048,,,0.8442,0.8497
162,0.816,0.8369,0.8007,0.8048,,,0.8432,0.8497
163,0.8397,0.8397,0.8003,0.8048,,,0.8428,0.8497
164,0.8171,0.8397,0.799,0.8048,,,0.8446,0.8497
165,0.8298,0.8397,0.799,0.8048,,,0.839,0.8497
166,0.833,0.8397,0.8001,0.8048,,,0.8369,0.8497
167,0.8362,0.8397,0.8028,0.8048,,,0.8183,0.8497
